PARCELA;SUB-PARCELA ;ESTRATO;IND. No.;NOMBRE COMUN;NOMBRE CIENTIFICO;FAMILIA;ALTURA TOTAL (m);ALTURA COMERCIAL  (m);CAP (cm);DAP (m);A.B. TOTAL (m2);V. COMERCIAL (m3);V. TOTAL (m3);DIAM. COPA X (m);DIAM. COPA Y (m);COORDENADA E;COORDENADA N
4r;4;Fustal;23;Macana;Euterpe precatoria Mart.;Arecaceae;14;12;35;0,11;0,0097;0,0760;0,0887;4;4;962594,9714;913437,6632
4r;4;Fustal;24;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;11;6;63;0,20;0,0316;0,1232;0,2258;8;8;962607,932;913441,897
4r;4;Fustal;25;Carano aniz;Protium heptaphyllum (Aubl.) Marchand;Burseraceae;15;10;68;0,22;0,0368;0,2392;0,3588;6;8;962594,2304;913436,189
4r;5;Fustal;26;NN 10;Piper cf. demeraranum (Miq.) C.DC.;Piperaceae;13;7;75;0,24;0,0448;0,2037;0,3782;8;9;962618,2963;913434,5209
4r;5;Fustal;27;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;12;7;47;0,15;0,0176;0,0800;0,1371;9;8;962605,5275;913447,427
4r;4;Fustal;28;Palma cumare;Astrocaryum chambira Burret;Arecaceae;14;9;58;0,18;0,0268;0,1566;0,2436;7;9;962602,7462;913436,1857
4r;4;Fustal;29;Guamo loro;Swartzia cf. leptopetala Benth;Fabaceae;19;14;114;0,36;0,1034;0,9411;1,2772;15;17;962614,2235;913434,5225
4r;4;Fustal;30;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;14;9;54;0,17;0,0232;0,1357;0,2112;6;7;962598,8601;913440,0576
4r;5;Fustal;31;Madrono;Garcinia madruno (Kunth) Hammel;Clusiaceae;10;6;38;0,12;0,0115;0,0448;0,0747;6;7;962596,2665;913435,451
4r;5;Fustal;32;Guamo peludo;Inga vera Willd.;Fabaceae;13;9;49;0,16;0,0191;0,1118;0,1615;5;6;962623,8424;913414,6142
4r;5;Fustal;33;NN 2;Miconia minutiflora (Bonpl.) DC.;Melastomataceae;12;8;63;0,20;0,0316;0,1642;0,2464;6;5;962597,7429;913423,6551
4r;5;Fustal;34;Carano aniz;Protium heptaphyllum (Aubl.) Marchand;Burseraceae;14;10;60,5;0,19;0,0291;0,1893;0,2651;5;4;962601,444;913419,9677
4r;5;Fustal;35;Carano;Trattinnickia lancifolia (Cuatrec.) D.C.Daly;Burseraceae;15;10;58;0,18;0,0268;0,1740;0,2610;5;5;962587,929;913418,1299
4r;5;Fustal;36;Uvero;Coccoloba caracasana Meisn.;Polygonaceae;13;7;54;0,17;0,0232;0,1056;0,1961;6;8;962605,1407;913405,0378
4r;5;Fustal;37;Vara blanca;Casearia arborea (Rich.) Urb.;Salicaceae;11;8;34;0,11;0,0092;0,0478;0,0658;4;4;962614,77;913411,8532
4r;5;Fustal;38;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;14;8;60;0,19;0,0286;0,1490;0,2607;8;7;962610,6966;913410,196
4r;5;Fustal;39;Palma cumare;Astrocaryum chambira Burret;Arecaceae;16;12;54;0,17;0,0232;0,1810;0,2413;6;6;962600,8824;913404,1179
4r;6;Fustal;40;Merecure;Licania leucosepala Griseb.;Chrysobalanaceae;14;8;48;0,15;0,0183;0,0953;0,1668;8;8;962612,5527;913422,7278
4r;6;Fustal;41;Malagueto negro;Guatteria schomburgkiana Mart.;Annonaceae;14;12;63;0,20;0,0316;0,2464;0,2874;6;6;962618,1053;913419,5925
4r;6;Fustal;42;Guamo peludo;Inga vera Willd.;Fabaceae;13;7;40;0,13;0,0127;0,0579;0,1076;5;4;962628,8404;913413,6907
4r;7;Fustal;43;Nispero;Bellucia grossularioides (L.) Triana;Melastomataceae;16;8;100;0,32;0,0796;0,4138;0,8276;15;15;962624,2108;913410,0065
4r;7;Fustal;44;Brasil;Hymenaea oblongifolia Huber;Fabaceae;12;8;39;0,12;0,0121;0,0629;0,0944;8;6;962622,5445;913409,4542
